city_st,year,pop,avg_m
"Aventura, FL",2001,26316.5,0.005218545454545455
"Aventura, FL",2002,27366,0.00216
"Aventura, FL",2003,28415.5,0.00216
"Aventura, FL",2004,29465,0.006290666666666667
"Aventura, FL",2005,30514.5,0.011255428571428572
"Aventura, FL",2006,31564,0.0038937777777777777
"Aventura, FL",2007,32613.5,0.0028280000000000002
"Aventura, FL",2008,33663,8.64e-4
"Babylon, NY",1992,12314.237515846591,0.0054
"Babylon, NY",1993,12353.958913429522,0
"Babylon, NY",1995,12439.593168084844,0.0054
"Babylon, NY",1998,12559.48173930201,0.0036
"Babylon, NY",2008,12388.13018621285,0.001344
"Bainbridge Island, WA",2002,20851.4,0
"Bal Harbour, FL",1987,2947.24,0.002778
"Bal Harbour, FL",1990,3045,0.0216
"Bal Harbour, FL",1991,3083,0.0025919999999999997
"Bal Harbour, FL",1992,3121.64,0.00336175
"Bal Harbour, FL",1993,3159.68,0.0018116923076923076
"Bal Harbour, FL",1994,3195.88,0.003991076923076923
"Bal Harbour, FL",1995,3229,0.007868285714285715
"Bal Harbour, FL",1996,3257.8,0.012497846153846153
"Bal Harbour, FL",1997,3281.04,0.004614571428571429
"Bal Harbour, FL",1998,3297.48,0.0027145454545454547
"Bal Harbour, FL",1999,3305.88,0.011458
"Bal Harbour, FL",2000,3305,0.008287142857142858
"Bal Harbour, FL",2001,3293.6,0.005218545454545455
"Bal Harbour, FL",2002,3270.44,0.00216
"Bal Harbour, FL",2003,3234.28,0.00216
"Bal Harbour, FL",2004,3183.88,0.006290666666666667
"Bal Harbour, FL",2005,3118,0.011255428571428572
"Bal Harbour, FL",2006,3035.4,0.0038937777777777777
"Bal Harbour, FL",2007,2934.84,0.0028280000000000002
"Bal Harbour, FL",2008,2815.08,8.64e-4
"Bandon, OR",2002,2959.5220617309965,0
"Bangor, ME",1992,33032.5700443863,0.00756
"Bangor, ME",1994,32702.59582556723,0.012971
"Bangor, ME",1995,32496.079380272,0.015118666666666666
"Bangor, ME",1996,32276.03658455501,0.02306
"Bangor, ME",1998,31837.851562361855,0
"Bangor, ME",1999,31640.94914613875,0
"Bangor, ME",2001,31343.94071155104,0
"Bangor, ME",2002,31260.97459831296,7.2e-4
"Bangor, ME",2004,31259.40189746944,0
"Bangor, ME",2005,31353.835309864,0.03633733333333333
"Bangor, ME",2006,31520.44189746944,0
"Bangor, ME",2007,31765.74166028576,0
"Barnstable, MA",1986,37189.602156256595,0
"Barnstable, MA",1987,38157.83769166329,0
"Barnstable, MA",1989,40036.32541494607,0.0340712
"Barnstable, MA",1990,40949,4.32e-4
"Barnstable, MA",1991,41844.00745740816,0.0025405000000000002
"Barnstable, MA",1992,42714.71294556267,0.009997444444444444
"Barnstable, MA",1993,43552.91241481632,0.002062702702702703
"Barnstable, MA",1994,44350.40181552185,0.004902363636363636
"Barnstable, MA",1995,45098.97709803206,0.017506105263157896
"Barnstable, MA",1996,45790.4342126997,0.01993976470588235
"Barnstable, MA",1997,46416.56910987754,0.0084385
"Barnstable, MA",1998,46969.17773991836,0.004730153846153846
"Barnstable, MA",1999,47440.05605317492,0.0011882666666666666
"Barnstable, MA",2000,47821,0.00512416
"Barnstable, MA",2001,48104.11937235423,0.004125692307692308
"Barnstable, MA",2002,48282.77932862974,9.724102564102565e-4
"Barnstable, MA",2003,48350.65886882653,0.009636380952380952
"Barnstable, MA",2004,48301.43699294461,0.00584336
"Barnstable, MA",2005,48128.79270098397,0.007884
"Barnstable, MA",2006,47826.40499294461,0.0047776
"Barnstable, MA",2007,47387.952868826535,0.00471232
"Barnstable, MA",2008,46807.11532862974,0.003261625
"Barrington, NJ",2008,7109.5804784689,0
"Bath, ME",1990,9799,0
"Bath, ME",1991,9733.984937117431,0
"Bath, ME",1992,9674.185610479572,0.006299666666666667
"Bath, ME",1993,9618.622374234865,0
"Bath, ME",1994,9566.315582531764,0.00216
"Bath, ME",1995,9516.285589518717,0.015118666666666666
"Bath, ME",1996,9467.55274934417,0.02306
"Bath, ME",1997,9419.137416156576,0.00108
"Bath, ME",1998,9370.059944104383,0.004162133333333333
"Bath, ME",1999,9319.340687336042,0
"Bath, ME",2000,9266,0.0038729230769230768
"Bath, ME",2001,9209.199343886632,0.004752
"Bath, ME",2002,9148.664611354012,5.4e-4
"Bath, ME",2003,9084.26280240214,0.0026999999999999997
"Bath, ME",2004,9015.860917031016,0.0037960000000000003
"Bath, ME",2005,8943.325955240643,0.016613199999999998
"Bath, ME",2006,8866.524917031016,0.0015736
"Bath, ME",2007,8785.32480240214,0.008438666666666667
"Bath, ME",2008,8699.592611354012,9.786666666666667e-4
"Bay Harbor Islands, FL",1987,4716.768125,0.001236
"Bay Harbor Islands, FL",1990,4703,0.0216
"Bay Harbor Islands, FL",1991,4717.33375,0.0025919999999999997
"Bay Harbor Islands, FL",1992,4741.36619047619,0.00336175
"Bay Harbor Islands, FL",1993,4773.9575,0.0018116923076923076
"Bay Harbor Islands, FL",1994,4813.967857142857,0.003991076923076923
"Bay Harbor Islands, FL",1995,4860.257440476191,0.007868285714285715
"Bay Harbor Islands, FL",1996,4911.686428571428,0.012497846153846153
"Bay Harbor Islands, FL",1997,4967.115,0.004614571428571429
"Bay Harbor Islands, FL",1998,5025.403333333334,0.0027145454545454547
"Bay Harbor Islands, FL",1999,5085.411607142857,0.010742769230769231
"Bay Harbor Islands, FL",2000,5146,0.008287142857142858
"Bay Harbor Islands, FL",2001,5206.1236607142855,0.005218545454545455
"Bay Harbor Islands, FL",2002,5265.117619047619,0.00216
"Bay Harbor Islands, FL",2003,5322.411875,0.00216
"Bay Harbor Islands, FL",2004,5377.436428571428,0.006290666666666667
"Bay Harbor Islands, FL",2005,5429.621279761905,0.011255428571428572
"Bay Harbor Islands, FL",2006,5478.396428571428,0.0038937777777777777
"Bay Harbor Islands, FL",2007,5523.191875,0.0023566666666666666
"Bay Harbor Islands, FL",2008,5563.437619047619,8.64e-4
"Bayonne, NJ",2008,62873.47154664381,0
"Bayville, NY",1998,7168.780333333333,0.0032400000000000003
"Bayville, NY",2008,6807.113476190476,7.999999999999999e-4
"Beachwood, NJ",2006,10823.364642857145,0.00432
"Beachwood, NJ",2008,10940.816428571428,0
"Beacon, NY",2008,15050.891767795778,0
"Belfast, ME",1992,6355.2334854128985,0.00324
"Belfast, ME",1993,6355.141915019473,0
"Belfast, ME",1994,6355.3455776394485,0.00252
"Belfast, ME",1995,6356.170054582811,0.015118666666666666
"Belfast, ME",1996,6357.940927159549,0.02306
"Belfast, ME",1997,6360.983776679649,0.00108
"Belfast, ME",1998,6365.6241844531,0
"Belfast, ME",1999,6372.187731789887,0
"Belfast, ME",2000,6381,0.00648
"Belfast, ME",2001,6392.390140175094,0
"Belfast, ME",2002,6406.7015825335,7.2e-4
"Belfast, ME",2004,6445.476373800251,0.00108
"Belfast, ME",2005,6470.633722708594,0.027792999999999998
"Belfast, ME",2006,6500.100373800251,0
"Belfast, ME",2007,6534.2233270752195,0.0021346666666666667
"Belfast, ME",2008,6573.3495825335,0
"Bell Gardens, CA",2002,43788.99566666667,0
"Bell Gardens, CA",2009,42314.1010625,0.009
"Bell, CA",2002,36517.74695980763,0
"Bell, CA",2009,35614.10516489179,0.009
"Belleair, FL",1996,4053.532,0.009179
"Belleair, FL",2000,4067,0.00144
"Bellingham, WA",2002,70427.13661456406,0
"Bellmawr, NJ",2008,11270.317958532694,0
"Belmar, NJ",1998,5959.501037444177,0.0054
"Belmar, NJ",2006,6080.207174166953,0.00432
"Belmar, NJ",2008,5975.970116111302,0
"Benicia, CA",2002,26881.82649496086,0
"Bergenfield, NJ",2008,26975.128144820817,0
"Berkeley, CA",2002,103453.09816632108,0
"Berlin, MD",2006,4073.12,0.00432
"Berlin, MD",2008,4276.68,0
"Berlin, NJ",2006,6883.991714285714,0.00432
"Berlin, NJ",2008,7212.61580952381,0
"Bernardsville, NJ",2008,7735.787327149891,0
"Beverly Hills, CA",2002,34120.033016200294,0
"Beverly, MA",1990,38195,0
"Beverly, MA",1991,38348.72506707598,0.0018
"Beverly, MA",1992,38515.560110728606,0.007657818181818182
"Beverly, MA",1993,38691.670134151966,8.894117647058824e-4
"Beverly, MA",1994,38873.22014054016,0.009111428571428572
"Beverly, MA",1995,39056.37513308727,0.025558
"Beverly, MA",1996,39237.3001149874,0.01678457142857143
"Beverly, MA",1997,39412.16008943465,0.005427692307692308
"Beverly, MA",1998,39577.1200596231,0.0047431724137931034
"Beverly, MA",1999,39728.34502874685,0.0012604444444444445
"Beverly, MA",2000,39862,0.0036630909090909092
"Beverly, MA",2001,39974.363476044295,0.00444225
"Beverly, MA",2002,40062.16795741207,0.001046451612903226
"Beverly, MA",2003,40122.25944410334,0.013852666666666668
"Beverly, MA",2004,40151.48393611811,0.006668181818181818
"Beverly, MA",2005,40146.68743345636,0.013127157894736842
"Beverly, MA",2006,40104.71593611811,0.001222086956521739
"Beverly, MA",2007,40022.415444103346,0.005050461538461538
"Beverly, MA",2008,39896.63195741207,0.0033367058823529413
"Beverly, NJ",2008,2541.0054558173783,0
"Biddeford, ME",1990,20710,0
"Biddeford, ME",1991,20791.688455215255,0.00216
"Biddeford, ME",1992,20853.2618943236,0.005815076923076923
"Biddeford, ME",1993,20897.38941043051,0
"Biddeford, ME",1994,20926.74009664149,0.00216
"Biddeford, ME",1995,20943.983046062014,0.035097
"Biddeford, ME",1996,20951.787351797582,0.014769000000000001
"Biddeford, ME",1997,20952.82210695367,0.001685
"Biddeford, ME",1998,20949.756404635784,0.0052118
"Biddeford, ME",1999,20945.259337949396,0.0012604444444444445
"Biddeford, ME",2000,20942,0.00476675
"Biddeford, ME",2001,20942.359801708837,0.0058316
"Biddeford, ME",2002,20947.569425260153,3.104761904761905e-4
"Biddeford, ME",2003,20958.571870653952,0.019024
"Biddeford, ME",2004,20976.310137890232,0.0072
"Biddeford, ME",2005,21001.727226968993,0.016332923076923078
"Biddeford, ME",2006,21035.76613789023,0.0014793684210526316
"Biddeford, ME",2007,21079.36987065395,0.0052791999999999995
"Biddeford, ME",2008,21133.481425260154,0.0045204
"Biscayne Park, FL",1987,3075.101,0.001236
"Biscayne Park, FL",1990,3068,0.0216
"Biscayne Park, FL",1991,3076.817,0.0025919999999999997
"Biscayne Park, FL",1992,3091.3398095238094,0.003842
"Biscayne Park, FL",1993,3110.369,0.001962666666666667
"Biscayne Park, FL",1994,3132.705142857143,7.854545454545455e-4
"Biscayne Park, FL",1995,3157.1488095238096,0.007868285714285715
"Biscayne Park, FL",1996,3182.5005714285717,0.011913714285714286
"Biscayne Park, FL",1997,3207.561,0.004614571428571429
"Biscayne Park, FL",1998,3231.130666666667,0.0027145454545454547
"Biscayne Park, FL",1999,3252.010142857143,0.010742769230769231
"Biscayne Park, FL",2000,3269,0.008287142857142858
"Biscayne Park, FL",2001,3280.9947142857145,0.005218545454545455
"Biscayne Park, FL",2002,3287.264380952381,0.00216
"Biscayne Park, FL",2003,3287.173,0.00216
"Biscayne Park, FL",2004,3280.0845714285715,0.006290666666666667
"Biscayne Park, FL",2005,3265.3630952380954,0.011255428571428572
"Biscayne Park, FL",2006,3242.3725714285715,0.0038937777777777777
"Biscayne Park, FL",2007,3210.477,0.0023566666666666666
"Biscayne Park, FL",2008,3169.040380952381,8.64e-4
"Black Diamond, WA",2002,4006.2,0
"Blaine, WA",2002,3952.8,0
"Bloomingdale, NJ",2008,7673.75193679148,0
"Bogota, NJ",2008,8324.548644820816,0
"Bonita Springs, FL",2000,32797,0.0061200000000000004
"Bonita Springs, FL",2003,36132.1,0.00432
"Bonney Lake, WA",2002,10609.936,0
"Boonton, NJ",2008,8435.255853639625,0
"Bordentown, NJ",2008,3874.703726502053,0
"Boston, MA",1989,571524.7586499986,0.0032979999999999997
"Boston, MA",1990,574283,0
"Boston, MA",1991,576646.8878368431,0.0018276923076923077
"Boston, MA",1992,578636.0046830426,0.008639714285714285
"Boston, MA",1993,580317.7156736862,0.001210909090909091
"Boston, MA",1994,581759.3859438618,0.007674
"Boston, MA",1995,583028.380628657,0.0183588
"Boston, MA",1996,584192.0648631597,0.019282666666666667
"Boston, MA",1997,585317.8037824575,0.00504
"Boston, MA",1998,586472.9625216384,0.005724823529411765
"Boston, MA",1999,587724.90621579,0.0012604444444444445
"Boston, MA",2000,589141,0.0034894
"Boston, MA",2001,590779.0524868418,0.005844
"Boston, MA",2002,592658.6461988298,9.4625e-4
"Boston, MA",2003,594789.807135964,0.012787076923076924
"Boston, MA",2004,597182.5612982446,0.0070885714285714285
"Boston, MA",2005,599846.9346856715,0.010986
"Boston, MA",2006,602792.9532982446,0.003941076923076923
"Boston, MA",2007,606030.643135964,0.004809066666666666
"Boston, MA",2008,609570.0301988297,0.0036472380952380953
"Bound Brook, NJ",2008,10455.761098910009,0
"Boynton Beach, FL",1987,43155.45486153846,0.002778
"Boynton Beach, FL",1990,46194,0.0216
"Boynton Beach, FL",1991,47400.19503076923,0.0025919999999999997
"Boynton Beach, FL",1992,48707.74417777778,0.003842
"Boynton Beach, FL",1993,50096.415061538464,0.0018116923076923076
"Boynton Beach, FL",1994,51545.975302564104,0.0028824444444444444
"Boynton Beach, FL",1995,53036.19252136752,0.006479636363636364
"Boynton Beach, FL",1996,54546.83433846154,0.012203499999999999
"Boynton Beach, FL",1997,56057.668374358975,0.009703333333333333
"Boynton Beach, FL",1998,57548.46224957265,0.002579555555555556
"Boynton Beach, FL",1999,58998.98358461539,0.011339272727272727
"Boynton Beach, FL",2000,60389,0.008794
"Boynton Beach, FL",2001,61699.985846153846,0.00666
"Boynton Beach, FL",2002,62920.24239316239,0.00216
"Boynton Beach, FL",2003,64039.77764102564,0.00264
"Boynton Beach, FL",2004,65048.59958974359,0.012124571428571427
"Boynton Beach, FL",2005,65936.71623931624,0.02006866666666667
"Boynton Beach, FL",2006,66694.13558974359,0.004080571428571428
"Boynton Beach, FL",2007,67310.86564102564,0.004124
"Boynton Beach, FL",2008,67776.9143931624,8.64e-4
"Bradenton, FL",1996,48204.471054860085,0.009179
"Bradenton, FL",2000,49504,0.00144
"Bradley Beach, NJ",1998,4723.522114279171,0.0054
"Bradley Beach, NJ",2006,4711.975448986603,0.00432
"Bradley Beach, NJ",2008,4548.599632657735,0
"Braintree, MA",1989,34052.4980207227,0.0032979999999999997
"Braintree, MA",1990,33836,0
"Braintree, MA",1991,33667.58237946749,0.0018276923076923077
"Braintree, MA",1992,33546.1617057876,0.007996
"Braintree, MA",1993,33468.08225893498,0.0018553846153846155
"Braintree, MA",1994,33429.68831888426,0.007674
"Braintree, MA",1995,33427.324165610094,0.0183588
"Braintree, MA",1996,33457.33407908712,0.019282666666666667
"Braintree, MA",1997,33516.06233928998,0.0053549999999999995
"Braintree, MA",1998,33599.85322619332,0.005673485714285715
"Braintree, MA",1999,33705.05101977178,0.0012276363636363637
"Braintree, MA",2000,33828,0.0034894
"Braintree, MA",2001,33965.55890019018,0.0055320000000000005
"Braintree, MA",2002,34116.64426700477,9.883529411764706e-4
"Braintree, MA",2003,34280.68710044376,0.012787076923076924
"Braintree, MA",2004,34457.118400507155,0.006882857142857143
"Braintree, MA",2005,34645.36916719496,0.010986
"Braintree, MA",2006,34844.870400507156,0.003941076923076923
"Braintree, MA",2007,35055.05310044376,0.004642823529411764
"Braintree, MA",2008,35275.34826700477,0.0034814545454545454
"Brea, CA",2002,35956.43121281296,0.006599
"Brea, CA",2009,38727.10855720729,0.009
"Bremerton, WA",2002,37053.51313750154,0
"Brentwood, CA",2002,28013.881275917065,0
"Brewer, ME",1992,9011.529940372704,0.00756
"Brewer, ME",1994,8995.989539703818,0.0108088
"Brewer, ME",1995,8988.257139871039,0.015118666666666666
"Brewer, ME",1996,8981.784168848579,0.02306
"Brewer, ME",1998,8976.319198662226,0
"Brewer, ME",1999,8979.178542212145,0
"Brewer, ME",2001,9000.649464823213,0
"Brewer, ME",2002,9020.753715241268,7.2e-4
"Brewer, ME",2004,9082.5945728619,0
"Brewer, ME",2005,9125.46518006448,0.03633733333333333
"Brewer, ME",2006,9177.0585728619,0
"Brewer, ME",2007,9237.941751254164,0
"Briarcliff Manor, NY",2008,7935.609666666666,0
"Bridgeport, CT",1992,141539.7381479906,0.0054
"Bridgeport, CT",1993,141339.94891006552,0
"Bridgeport, CT",1995,140791.61796633486,0.0054
"Bridgeport, CT",1998,139910.93284891802,5.4e-4
"Bridgeport, CT",2003,139624.72845413935,0
"Bridgeport, CT",2008,142178.93025077286,0.001344
"Bridgeport, PA",2008,4535.946656311074,0
"Bridgeton, NJ",2006,24828.4562271046,0.00432
"Bridgeton, NJ",2008,25200.146818069737,0
"Brielle, NJ",1998,4813.466666666667,0.0054
"Brielle, NJ",2006,4949.5542857142855,0.00432
"Brielle, NJ",2008,4887.129523809524,0
"Brier, WA",2002,6352.260444444444,0
"Brigantine, NJ",2006,11384.648428571429,0.00432
"Brigantine, NJ",2008,10543.968285714289,0
"Brightwaters, NY",1992,3276.4054285714287,0.0054
"Brightwaters, NY",1993,3278.6935,0
"Brightwaters, NY",1995,3277.3526785714284,0.0054
"Brightwaters, NY",1998,3263.286,0.0027
"Brightwaters, NY",2008,3144.383142857143,0.001344
"Brisbane, CA",2002,3756.335111111111,0
"Bristol, CT",1992,60858.96986705085,0.00972
"Bristol, CT",1993,60870.44060815776,0.00216
"Bristol, CT",1995,60747.757051743814,0.0054
"Bristol, CT",1997,60498.11123877184,0.043196
"Bristol, CT",1998,60350.879159181226,0.0144
"Bristol, CT",2001,59939.64098068611,0.00864
"Bristol, CT",2002,59840.78574344198,0
"Bristol, CT",2003,59770.2752882676,0.00216
"Bristol, CT",2005,59733.65272412809,0.024946
"Bristol, CT",2008,60012.32974344198,0.0037600000000000003
"Bristol, PA",2008,9718.88374574004,0
"Brockton, MA",1989,92944.68339671248,0.042589
"Brockton, MA",1990,92788,0
"Brockton, MA",1991,92720.65828663293,0.002016
"Brockton, MA",1992,92735.62955253688,0.007996
"Brockton, MA",1993,92820.29157326584,0.002112
"Brockton, MA",1994,92962.02212437376,0.007674
"Brockton, MA",1995,93148.19898141452,0.018260727272727272
"Brockton, MA",1996,93366.19991994216,0.019282666666666667
"Brockton, MA",1997,93603.40271551056,0.00687375
"Brockton, MA",1998,93847.1851436737,0.0055381052631578945
"Brockton, MA",1999,94084.92497998552,0.0012276363636363637
"Brockton, MA",2000,94304,0.005380190476190476
"Brockton, MA",2001,94492.90668334538,0.005005142857142857
"Brockton, MA",2002,94644.61632594735,0.0010183030303030304
"Brockton, MA",2003,94753.2189278059,0.011802133333333334
"Brockton, MA",2004,94812.80448892104,0.00657
"Brockton, MA",2005,94817.46300929274,0.010462857142857144
"Brockton, MA",2006,94761.28448892102,0.0038580000000000003
"Brockton, MA",2007,94638.3589278059,0.0040404210526315786
"Brockton, MA",2008,94442.77632594736,0.0035570434782608695
"Bronxville, NY",2008,6506.500572655867,0
"Brookhaven, PA",2008,7847.224523809524,0
"Brookings, OR",2002,5642.781333333333,0
"Brooksville, FL",1996,7475.664285714286,0
"Brunswick, GA",1996,15879.602835905029,0
"Brunswick, GA",2005,15394.40345144385,0.0016986666666666667
"Buckley, WA",2002,4241.552127591706,0
"Buellton, CA",2002,3914.721777777778,0
"Buena Park, CA",2002,79735.22128205128,0.006599
"Buena Park, CA",2009,80997.09147115385,0.009
"Buena, NJ",2006,3951.154736842105,0.00432
"Buena, NJ",2008,4202.889824561404,0
"Burbank, CA",2002,101145.74070618556,0
"Burien, WA",2002,32035.769047619047,0
"Burlingame, CA",2002,28379.82436699963,0
"Burlington, NJ",2008,9852.454242242442,0
"Burlington, WA",2002,7259.005952380952,0
"Butler, NJ",2008,7521.399563573883,0
"Calabasas, CA",2002,21696.4,0
"Calais, ME",1994,3755.156381611806,0.012431
"Calais, ME",1995,3702.2257401626953,0.015118666666666666
"Calais, ME",1998,3545.9851315928872,0
"Calais, ME",1999,3495.7717598751424,0.001706
"Calais, ME",2002,3355.1397631479376,0.00108
"Calais, ME",2005,3237.6058799186526,0.0024
"Calais, ME",2007,3177.525939131668,0
"Caldwell, NJ",2008,7740.13791580756,0
"Cambridge, MA",1990,95802,0
"Cambridge, MA",1991,96213.74542440212,0.0018276923076923077
"Cambridge, MA",1992,96679.1038752035,0.008639666666666667
"Cambridge, MA",1993,97189.93334880425,7.957894736842105e-4
"Cambridge, MA",1994,97738.09184160444,0.0079725
"Cambridge, MA",1995,98315.4373500042,0.0224085
"Cambridge, MA",1996,98913.82787040363,0.0162935
"Cambridge, MA",1997,99525.12139920282,0.00534
"Cambridge, MA",1998,100141.17593280188,0.004397419354838709
"Cambridge, MA",1999,100753.84946760091,0.001418
"Cambridge, MA",2000,101355,0.0032771111111111113
"Cambridge, MA",2001,101936.70602699924,0.005844
"Cambridge, MA",2002,102491.92804799863,9.76774193548387e-4
"Cambridge, MA",2003,103013.84706299823,0.013852666666666668
"Cambridge, MA",2004,103495.644071998,0.007607368421052632
"Cambridge, MA",2005,103930.5000749979,0.011936666666666667
"Cambridge, MA",2006,104311.59607199798,0.0024978181818181818
"Cambridge, MA",2007,104632.11306299824,0.004809066666666666
"Cambridge, MA",2008,104885.23204799864,0.004031157894736842
"Camden, NJ",2008,76445.26082635764,0
"Campbell, CA",2002,38132.827952380954,0
"Canyon Lake, CA",2001,10035.205,0.01728
"Canyon Lake, CA",2002,10106.84,0.008798666666666666
"Canyon Lake, CA",2009,10492.645,0.009
