oceans,regions,sub_regions,sampling_method,measurement,unit,density_range,density_class,date,season,year,density_marker_size,geometry,density_numeric
Atlantic Ocean,NA,NA,Neuston net,0.00864,pieces/m3,0.005-1,Medium,2008-05-01,Spring,2008,6.5,"c(-81.98, 24.14)",3
Atlantic Ocean,NA,NA,Neuston net,0.007728,pieces/m3,0.005-1,Medium,2008-02-21,Winter,2008,6.5,"c(-78.97, 28.5)",3
Atlantic Ocean,NA,NA,Neuston net,0,pieces/m3,0-0.0005,Very Low,1993-03-30,Spring,1993,3,"c(-77.85, 25.98)",1
Atlantic Ocean,NA,NA,Neuston net,0,pieces/m3,0-0.0005,Very Low,1999-02-13,Winter,1999,3,"c(-78.03, 28.21)",1
Atlantic Ocean,Gulf of Mexico,Tampa Bay,Plankton net,5.4,pieces/m3,1-10,High,2017-04-10,Spring,2017,8.25,"c(-82.5379, 27.9185)",4
Atlantic Ocean,NA,NA,Neuston net,0.00432,pieces/m3,0.0005-0.005,Low,2003-07-03,Summer,2003,4.75,"c(-71.12, 41.32)",2
Atlantic Ocean,NA,NA,Neuston net,0.00216,pieces/m3,0.0005-0.005,Low,1996-07-02,Summer,1996,4.75,"c(-69.67, 42.25)",2
Atlantic Ocean,NA,NA,Neuston net,0,pieces/m3,0-0.0005,Very Low,2003-06-29,Summer,2003,3,"c(-70.76, 39.81)",1
Atlantic Ocean,NA,NA,Neuston net,0.356372,pieces/m3,0.005-1,Medium,1991-10-14,Fall,1991,6.5,"c(-66.13, 37.18)",3
Atlantic Ocean,NA,NA,Neuston net,0.066956,pieces/m3,0.005-1,Medium,1996-05-18,Spring,1996,6.5,"c(-69.28, 31.75)",3
Pacific Ocean,Monterey Bay National Marine Sanctuary,NA,Grab sample,0.002,pieces/m3,0.0005-0.005,Low,2014-12-27,Winter,2014,4.75,"c(-121.9303, 36.5472)",2
Pacific Ocean,NA,NA,Grab sample,0.031,pieces/m3,0.005-1,Medium,2015-07-06,Summer,2015,6.5,"c(-122.9537, 36.9731)",3
Atlantic Ocean,NA,NA,Neuston net,0.01008,pieces/m3,0.005-1,Medium,2000-04-24,Spring,2000,6.5,"c(-69.39, 27.32)",3
Atlantic Ocean,NA,NA,Neuston net,0.32716,pieces/m3,0.005-1,Medium,1995-05-20,Spring,1995,6.5,"c(-67.18, 30.55)",3
Atlantic Ocean,NA,NA,Neuston net,0.003928,pieces/m3,0.0005-0.005,Low,1987-04-10,Spring,1987,4.75,"c(-76.03, 25.42)",2
Atlantic Ocean,Gulf of Mexico,Tampa Bay,Van Dorn sampler,0,pieces/m3,0-0.0005,Very Low,2016-08-09,Summer,2016,3,"c(-82.4686, 27.8589)",1
Atlantic Ocean,Gulf of Mexico,Tampa Bay,Van Dorn sampler,0,pieces/m3,0-0.0005,Very Low,2017-04-11,Spring,2017,3,"c(-82.4807, 27.9237)",1
Atlantic Ocean,NA,NA,Neuston net,0,pieces/m3,0-0.0005,Very Low,1993-05-05,Spring,1993,3,"c(-79.28, 26.47)",1
