oceans,regions,sub_regions,sampling_method,measurement,unit,density_range,density_class,date,season,year,density_marker_size,city_st,pop,pop_rescaled,geometry,lon,lat
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2022-01-04,Winter,2022,6.5,"Charleston, SC",120083,1.43871661402552,"c(-79.9707, 32.8911)",-79.9707,32.8911
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2020-01-10,Winter,2020,6.5,"Charleston, SC",120083,1.43871661402552,"c(-79.9281, 32.7866)",-79.9281,32.7866
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2020-03-06,Spring,2020,6.5,"Charleston, SC",120083,1.43871661402552,"c(-79.8569, 32.7568)",-79.8569,32.756800000000005
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2019-11-20,Fall,2019,6.5,"Charleston, SC",120083,1.43871661402552,"c(-79.946, 32.7758)",-79.946,32.7758
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,0,Very Low,2020-02-27,Winter,2020,3,"Charleston, SC",120083,1.43871661402552,"c(-79.9598, 32.787)",-79.9598,32.787
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2020-02-04,Winter,2020,6.5,"Charleston, SC",120083,1.43871661402552,"c(-79.9032, 32.7508)",-79.9032,32.7508
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2019-11-26,Fall,2019,6.5,"Charleston, SC",120083,1.43871661402552,"c(-79.9505, 32.9096)",-79.9505,32.9096
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2019-10-23,Fall,2019,6.5,"Charleston, SC",120083,1.43871661402552,"c(-79.9047, 32.7509)",-79.9047,32.7509
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,40-200,High,2022-03-21,Spring,2022,8.25,"Charleston, SC",120083,1.43871661402552,"c(-79.9253, 32.7759)",-79.9253,32.7759
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,40-200,High,2019-09-25,Fall,2019,8.25,"Charleston, SC",120083,1.43871661402552,"c(-79.9353, 32.8028)",-79.93530000000001,32.802800000000005
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2020-01-24,Winter,2020,6.5,"Charleston, SC",120083,1.43871661402552,"c(-79.9281, 32.7867)",-79.9281,32.7867
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,40-200,High,2019-12-27,Winter,2019,8.25,"Charleston, SC",120083,1.43871661402552,"c(-79.9252, 32.7767)",-79.9252,32.7767
